Elevation,Slope,H.dist,V.dist,D.Road,Shade9,Shade12,Shade3,D.Fire,Type
3241,10,390,20,3586,210,218,144,3901,1
2787,15,0,0,2787,242,214,98,2084,1
2798,14,85,16,2030,191,217,164,2976,2
2452,16,480,182,902,177,244,205,313,6
3392,17,324,180,4420,199,203,138,3915,7
2932,23,216,92,5956,239,235,112,4283,2
3244,8,242,35,5303,228,224,129,342,1
3138,9,67,5,5401,235,234,129,2051,2
2535,30,124,65,1471,207,245,151,450,3
3080,4,234,12,1471,214,232,156,2148,2
2278,7,0,0,1167,231,229,132,1195,4
2869,9,108,3,2981,204,225,159,2678,2
2900,12,285,40,3235,237,218,110,2685,2
3183,13,0,0,2925,208,212,139,4056,1
2787,39,150,98,1978,139,241,213,1116,2
2982,7,270,17,5015,222,225,138,5643,1
3008,8,272,26,5942,223,245,155,3653,2
2385,13,335,128,1240,195,220,163,1138,3
3081,26,300,90,323,253,210,68,1652,2
2932,9,450,10,4065,234,225,123,4400,2
1928,31,30,14,180,138,243,233,765,6
2356,23,216,-30,997,154,214,197,1243,3
2975,26,362,191,2462,140,219,214,1480,1
3034,7,30,10,3972,224,224,134,3908,1
2959,22,218,109,2563,182,254,202,2131,2
2624,15,170,15,466,177,229,192,1177,2
3025,4,30,-3,2579,220,243,158,1425,2
3001,22,470,88,4549,220,188,92,4132,1
3003,22,30,-5,966,227,188,84,2309,1
3233,18,150,44,990,211,198,118,1572,1
2771,21,212,72,819,202,254,178,2040,5
2430,3,247,40,841,216,233,154,850,3
3125,14,108,0,2410,238,238,126,1443,1
3110,11,30,11,1266,189,235,186,1572,1
3165,6,564,57,5497,204,241,176,1261,2
3237,6,351,53,228,212,246,171,1833,1
2765,4,234,35,2639,219,243,160,2041,5
2912,11,134,8,3755,234,220,117,1703,2
3070,6,85,7,5315,223,226,138,2663,1
3057,21,268,81,1760,238,238,119,2232,2
2915,1,175,22,323,215,237,160,402,2
2379,19,42,11,510,248,224,96,1298,3
3134,10,295,60,5085,228,220,124,3112,1
2889,5,85,4,1572,228,232,138,2112,2
2953,15,42,9,1871,244,222,103,1041,1
2344,19,272,183,847,213,194,110,446,3
3236,8,330,82,1416,233,237,135,2044,1
2927,18,626,281,1359,169,241,210,1950,2
2944,2,134,19,3950,213,238,162,4863,2
3239,18,212,0,3426,219,250,159,721,2
2753,6,300,7,2520,227,240,146,1723,2
2596,11,234,48,1110,237,236,128,350,2
3199,10,480,83,2308,236,227,121,2773,1
2776,1,234,4,2821,217,239,159,2100,2
2995,11,636,79,5689,198,249,189,3695,2
2978,11,313,56,5477,228,245,148,2943,1
2132,32,95,57,1390,116,208,224,674,3
2233,31,192,17,560,185,159,95,949,6
3197,13,450,87,1261,190,247,195,2632,1
2940,31,376,199,1959,254,200,50,633,5
3220,20,400,-26,2925,219,249,154,162,2
2994,18,234,38,255,208,197,120,1304,2
2886,14,0,0,2026,183,243,199,1072,5
2918,5,30,4,3635,219,228,146,1466,2
3169,9,424,53,1988,230,223,126,3037,1
2985,26,95,16,2377,180,178,126,1950,2
2780,16,120,37,1359,195,209,150,1100,1
3191,7,335,16,4097,214,226,149,3037,1
2873,18,339,115,2525,169,224,194,1092,2
3371,16,60,18,2576,210,253,174,474,7
2906,27,42,13,5630,139,236,231,1022,2
2712,16,60,8,3757,219,250,160,2060,2
3063,15,67,17,3495,244,221,102,510,1
3243,8,503,-30,752,234,231,129,3183,2
3200,4,485,28,6005,213,242,167,2219,2
2768,12,30,5,2837,196,222,164,6196,2
2025,20,0,0,573,163,219,194,459,4
3379,9,417,57,3767,204,248,181,2174,7
3065,8,95,13,3245,202,229,167,426,1
2904,14,543,267,825,234,211,105,592,2
3192,4,499,-7,3041,221,242,157,108,2
2942,3,323,16,1839,214,233,158,1323,2
2549,16,90,14,192,215,203,120,1465,6
2558,9,319,112,624,232,239,139,999,3
3276,36,124,11,2952,99,199,227,2377,1
2873,5,716,82,2131,218,230,148,1036,2
3295,9,85,-3,4082,202,227,-9999,1595,1
2858,15,454,124,240,218,205,118,994,2
2894,9,330,13,1909,214,220,143,2885,2
2934,5,579,21,3450,213,245,169,3843,2
3096,12,424,-26,3993,236,217,110,4755,2
3117,10,90,4,4896,225,218,126,2591,2
2966,31,443,149,871,239,167,36,760,2
2643,11,283,106,470,237,224,117,1514,3
2903,13,162,36,5159,238,238,128,4256,2
3121,19,150,61,2490,199,254,185,918,2
2985,12,569,87,5794,188,244,-9999,5753,2
3228,15,0,0,1622,231,208,106,793,7
2802,26,60,12,3187,182,254,197,1507,2
2804,13,216,46,3900,232,214,112,5405,2
3001,9,268,35,306,229,222,125,1216,1
2565,12,362,80,2368,197,250,189,492,3
3183,7,277,-35,2536,208,227,157,2315,1
2888,14,162,50,977,243,228,111,2156,2
3129,14,42,-11,2635,180,231,190,765,2
2939,8,531,138,4614,223,222,134,5210,2
3241,19,306,87,4712,165,241,214,3443,1
3018,6,741,109,5916,204,241,176,3428,2
2376,24,300,129,914,152,211,195,1020,6
2707,18,175,48,1879,185,209,161,1752,2
3250,13,277,59,2010,208,212,139,1932,2
2814,15,242,35,1471,208,207,133,2638,2
2952,7,180,16,1689,230,240,143,612,2
2907,13,408,128,726,239,219,108,1201,2
3394,5,721,204,1230,222,229,143,895,1
2856,14,300,14,2520,213,210,130,990,1
3015,24,342,137,1982,196,183,115,2496,1
3164,12,366,93,175,241,226,112,981,2
3070,12,323,49,3906,221,213,125,4227,1
3387,12,765,58,1103,241,231,118,4235,1
3333,22,691,196,1106,221,187,91,5400,1
2752,13,0,0,1854,188,225,176,2669,2
3167,7,424,-7,4910,228,226,132,2098,1
3108,15,480,96,1997,212,252,170,1989,2
2761,14,67,0,3046,237,213,105,2329,2
2917,2,350,52,2846,217,235,155,2110,2
3227,23,90,6,2201,159,246,221,3166,1
2834,9,240,-20,1718,233,224,122,2089,2
3175,25,67,19,1072,249,221,85,1498,1
3301,11,630,110,765,191,229,177,759,1
2037,28,240,28,270,226,168,57,283,3
3045,12,450,210,1103,186,231,185,600,2
2942,12,300,42,5658,221,249,159,4646,2
3107,4,247,22,1440,216,231,152,1355,2
3279,9,90,16,4848,196,233,177,3048,1
2778,15,120,29,1935,220,206,117,2226,1
2781,21,85,-2,120,162,216,192,1296,2
2926,19,390,33,5709,181,252,206,6231,1
2824,23,283,141,1127,199,253,179,1795,5
3025,17,30,9,4548,175,220,184,2128,2
3371,19,95,16,2249,234,242,-9999,3480,1
2627,11,42,4,1980,222,248,158,1024,1
3249,18,42,6,3909,247,212,88,4106,7
3117,7,450,32,684,209,227,156,973,2
3077,22,85,18,1413,220,188,92,451,1
3105,7,85,0,4897,221,224,139,1266,1
3346,11,524,6,3336,188,234,186,1650,1
2779,12,201,37,1728,236,239,132,2285,2
2981,7,85,4,2542,210,228,155,2029,1
3358,17,541,166,693,185,210,161,631,1
2984,4,85,1,2884,224,231,143,1822,2
2760,8,30,5,1124,227,223,130,886,2
2892,24,60,17,240,251,216,77,1450,1
2674,19,268,59,661,199,198,131,1714,2
3110,9,212,32,150,196,230,174,1302,1
3068,6,270,27,3971,224,228,139,2071,2
3001,5,560,82,5176,225,231,141,5448,2
2910,7,242,68,3233,201,233,171,2389,2
3048,6,0,0,2989,204,237,173,1477,1
2808,20,400,45,1928,250,216,85,2024,2
3137,6,150,-1,2096,230,236,139,612,1
2897,14,108,6,2738,182,231,189,1374,2
3151,9,30,8,3743,202,228,164,1342,1
3093,10,30,8,859,208,221,150,2510,1
3306,19,201,-12,2016,213,195,111,1165,7
3051,21,285,46,4625,232,193,84,470,2
3000,16,150,62,661,183,215,170,2526,1
2796,8,162,24,2940,208,225,155,6081,2
2067,18,192,102,258,222,197,103,228,3
3141,8,270,29,1464,200,231,171,2251,1
2687,22,270,-68,2866,224,246,143,1805,2
3201,15,663,282,1959,244,219,100,2557,1
2992,11,67,12,2037,234,220,117,2780,1
2708,9,0,0,1396,218,220,137,2393,2
3030,35,376,241,2657,199,240,148,1653,1
3116,8,390,35,1756,226,223,132,2907,1
3303,10,379,51,4526,198,225,166,853,1
3142,11,552,98,4585,230,218,121,1926,1
3304,4,899,90,959,212,233,159,2496,2
2930,10,150,8,4846,235,224,120,366,2
2835,32,335,-42,2252,195,246,162,1667,2
2982,22,247,100,5291,160,208,184,1182,2
3268,6,779,-22,1651,221,227,141,3023,2
3199,9,636,115,446,200,247,185,2245,2
2741,11,30,6,1416,224,216,125,2362,5
3359,24,376,152,2067,239,187,66,2255,1
2730,30,210,-40,2862,217,241,135,1703,2
2743,13,488,92,2501,238,216,107,2118,2
2759,11,30,4,1784,240,229,118,2739,2
3285,6,0,0,1752,225,227,136,1855,1
3253,11,616,50,1443,202,221,156,1500,1
2952,13,180,33,4790,242,231,115,5706,2
3077,13,277,66,3187,238,217,107,1978,2
3184,3,247,8,4891,213,241,166,2385,2
3106,9,127,30,888,222,220,133,1509,2
3219,14,30,0,1739,222,209,118,2599,1
2606,18,218,53,480,195,201,140,1107,3
2142,30,108,47,192,196,162,85,636,6
3100,10,120,31,3277,192,232,-9999,5152,2
2918,14,268,84,283,194,217,160,1509,1
2468,13,277,75,365,183,232,189,1377,2
3041,6,514,103,3066,203,239,175,999,2
2847,7,0,0,3915,214,226,149,6243,2
3269,17,30,1,1976,207,201,125,4689,1
2635,11,150,27,330,233,219,117,342,2
3283,10,589,56,4325,208,250,177,1991,7
2868,31,108,34,1008,253,203,53,1243,2
3311,9,404,81,4286,196,231,175,1761,1
2409,19,153,66,552,238,238,121,541,3
2359,13,95,17,256,233,242,137,400,6
3581,12,331,87,1842,221,213,124,2295,7
3360,18,964,121,2703,233,243,133,2249,1
2495,30,67,29,582,202,161,76,1261,2
3151,2,376,9,5851,213,236,160,960,1
3237,14,395,46,3575,188,222,172,3118,1
3081,4,95,4,2375,225,239,150,2089,1
2985,11,384,39,5079,216,250,167,2086,1
2743,5,127,6,2502,225,230,139,4356,2
2327,23,256,33,335,250,202,68,1026,3
2772,14,67,-5,2708,209,210,136,1987,2
3248,11,210,-2,726,236,222,116,2293,1
3072,16,124,43,2730,192,208,151,1575,1
2421,21,437,78,636,224,247,146,819,3
2984,9,153,35,1978,194,238,185,1144,2
3469,8,467,209,1144,218,223,141,1651,7
3132,10,240,24,5479,237,233,126,949,2
3344,7,170,-19,2996,228,241,146,577,1
2936,17,150,47,3810,246,225,101,2571,2
3024,10,446,24,3764,237,227,120,4785,2
2400,7,124,3,0,226,244,151,162,6
2692,12,85,19,85,213,215,137,2738,2
2815,16,30,-4,1140,206,253,179,1749,2
3141,16,30,-5,3543,244,230,110,2526,1
3254,11,666,141,1325,230,218,120,2090,1
2776,1,182,30,1677,221,236,151,2932,2
3034,18,124,36,5560,231,200,95,4536,2
2822,16,218,66,1406,211,203,124,1524,2
3175,3,85,2,467,215,234,157,1239,1
3024,7,819,177,5588,212,226,152,5336,1
2991,5,228,29,3235,228,237,144,6194,2
2787,25,153,31,1194,203,176,-9999,1660,2
3201,4,511,26,3891,226,239,148,4213,1
2965,9,488,95,2886,207,225,156,1725,2
3044,11,0,0,6717,236,238,132,3113,2
2377,34,30,12,658,163,154,111,1319,2
2600,13,60,0,1983,221,212,124,2142,6
2984,11,120,10,1732,220,248,161,3666,1
3342,30,270,113,3903,235,230,103,3027,1
2740,23,42,14,2377,176,253,207,417,1
3316,13,607,77,3342,183,231,188,3503,7
2671,12,180,-18,1342,234,216,112,481,2
3222,16,446,129,342,240,236,121,3074,1
2839,8,120,18,2356,233,238,137,2746,2
3231,12,616,54,4074,207,216,145,3561,1
2973,17,134,41,1339,240,237,121,3271,1
3155,19,190,43,2761,216,251,162,1126,2
3061,17,451,64,2609,172,229,197,1107,1
3172,3,335,99,4847,220,232,149,1605,1
2959,16,42,7,4678,181,220,177,5523,2
3153,22,108,41,1256,181,195,147,1006,1
2942,7,371,42,5440,208,247,176,4482,2
3286,11,642,247,3749,221,216,129,1998,1
3368,17,532,26,5069,183,210,163,3124,1
2871,7,309,60,1426,232,236,137,2970,2
3142,9,30,0,1410,235,227,123,2335,1
2597,6,0,0,306,229,229,134,1224,2
3163,15,0,0,1583,237,211,101,2423,1
3164,19,201,58,1275,171,216,182,2825,1
2906,18,395,93,3297,196,201,138,2359,1
3214,21,150,46,2188,208,253,170,1382,1
2900,14,912,134,2348,197,212,152,918,2
3273,20,108,4,2582,207,193,115,1570,1
2896,10,589,141,1448,219,218,133,912,2
2160,8,212,96,514,231,240,141,1033,6
3179,22,120,41,1583,251,210,75,2550,1
2708,5,234,27,1838,223,229,142,6215,2
3134,14,268,30,417,189,221,170,1867,1
3208,13,258,40,4414,190,222,171,641,1
3256,18,591,33,2869,245,229,106,3313,2
3228,11,210,16,1087,222,215,127,2315,1
3116,9,582,75,525,212,248,172,1693,2
2739,14,180,9,2418,243,221,104,2335,2
2988,10,190,36,4380,232,241,139,2069,2
3001,13,30,2,1008,211,211,134,2671,1
2911,14,134,20,1895,199,212,150,1451,2
2838,30,295,47,2210,122,215,226,1950,2
2824,3,0,0,457,219,233,151,361,2
2310,14,300,127,1374,243,225,108,967,4
3406,6,1140,57,3084,217,246,165,1415,7
2957,9,150,31,1476,237,230,124,1371,2
3418,12,228,34,1931,219,249,162,3618,1
3310,8,454,35,2474,211,225,151,900,1
3260,3,350,34,5695,211,239,166,1354,1
3106,25,270,85,2813,142,215,209,2607,1
2835,16,404,85,1702,244,216,97,792,5
2777,7,532,60,741,229,227,132,2616,2
3088,14,335,27,1549,237,239,130,745,2
2720,7,90,1,1980,233,233,132,1176,2
1934,19,30,5,30,226,196,0,469,3
2842,10,150,15,892,236,226,120,134,2
3073,5,612,74,5566,209,244,173,3381,2
2970,5,579,132,1301,215,229,151,2395,2
2846,11,595,223,631,216,217,135,716,2
3159,26,300,66,4023,227,176,66,2839,2
3154,4,42,3,1345,211,241,169,488,1
2509,23,42,4,765,220,182,86,1323,2
3130,3,30,1,2590,215,233,155,1209,1
3286,27,277,67,4629,233,174,56,379,1
3248,17,210,42,1842,222,249,155,1641,1
2836,9,60,8,3200,204,226,161,4867,2
3217,15,134,44,1460,194,214,157,2605,1
2634,23,108,32,1503,246,227,96,301,3
3502,17,661,90,2700,214,199,116,1766,1
3166,15,277,68,3281,181,246,204,1657,2
2733,4,481,102,1595,226,237,145,1809,2
2658,2,301,-23,1510,214,237,161,5754,2
2882,9,361,50,789,226,221,129,1465,5
3188,14,30,3,3003,213,252,171,5071,1
2762,32,268,139,1800,204,243,149,1273,2
2894,20,95,29,778,247,227,99,1851,2
2983,15,212,16,1350,245,223,102,2005,2
3126,4,618,45,1825,221,231,146,2750,1
3064,14,30,-8,3055,240,218,105,5692,1
2928,19,642,222,2858,173,210,174,1762,2
3197,21,671,-9,1440,250,217,85,2649,2
3151,11,467,37,2896,211,218,143,2681,1
2966,3,360,67,3332,220,233,150,2163,2
2385,16,469,217,1507,188,212,162,641,3
2942,10,228,26,5273,196,246,189,3840,2
2499,24,67,29,830,167,251,215,1500,2
2491,26,30,6,1605,177,253,202,1123,3
2960,8,42,6,1513,221,222,136,900,2
2967,11,218,17,4899,191,244,192,2207,1
3377,7,153,9,4207,226,243,151,4055,7
3081,16,541,36,2037,210,204,127,1492,2
2632,24,120,11,1120,186,184,128,6424,1
2394,17,0,0,601,190,253,198,1090,3
3093,11,309,7,3837,219,215,130,3709,1
3013,10,277,31,2785,206,222,153,685,1
2849,6,272,55,2244,230,234,138,1652,2
3312,14,420,78,3746,240,217,105,1589,7
2510,15,258,72,1036,193,211,155,390,6
3011,8,633,171,5481,199,237,178,5228,2
3123,13,362,48,1329,224,212,120,2998,2
2679,7,255,21,1847,232,236,136,2423,3
3081,14,162,37,591,184,227,182,960,1
3045,17,120,-9,2571,177,220,182,1396,1
2213,19,313,163,379,211,194,113,313,6
3044,9,690,66,5597,196,239,183,6187,2
2998,13,534,20,4006,196,217,159,4595,2
3022,4,0,0,3223,211,234,162,270,1
2813,15,30,8,2340,180,242,202,2220,2
3102,24,644,234,644,173,192,151,1734,1
3210,19,95,27,1624,187,201,148,390,1
2876,22,283,63,1057,232,189,78,663,2
3228,20,721,112,1812,225,193,94,2925,1
3063,3,569,23,5155,214,242,166,607,2
3285,10,300,10,2685,194,242,188,641,1
2934,15,474,135,1216,213,207,127,2686,2
2709,9,150,6,1415,223,220,131,1022,2
3115,17,633,69,5289,172,225,192,849,2
2623,5,108,9,752,213,231,157,6077,2
3199,16,430,95,2854,239,208,95,1706,1
2926,6,120,13,4764,212,229,154,3900,1
2341,7,256,97,854,232,236,137,384,3
2883,11,366,38,2423,233,241,138,2063,5
2077,23,150,85,190,248,196,64,391,3
2988,3,485,62,5009,220,241,156,6248,2
2927,18,323,107,2241,178,249,208,1832,2
3227,20,443,115,4962,219,193,101,2932,2
2959,9,0,0,1104,208,222,151,2178,2
2969,14,664,54,2686,199,212,149,1470,1
3289,18,335,7,2135,190,205,150,3085,1
3050,11,0,0,4686,228,216,119,1087,2
3375,13,330,53,2058,240,222,110,3393,7
2905,11,277,-22,601,231,217,117,1939,2
3279,2,42,0,3925,222,238,152,3699,7
3268,8,0,0,703,216,224,144,895,1
2448,23,256,78,1184,214,250,157,1385,3
3262,13,120,36,4513,229,211,113,1266,1
2372,9,297,109,1172,206,225,158,664,6
2212,16,30,5,1613,176,225,188,242,6
2478,19,240,13,430,247,226,99,942,3
3034,4,511,-34,1839,208,239,170,2297,2
2870,6,134,4,3502,205,232,165,2863,2
3119,12,30,-3,4959,228,215,117,1180,1
2673,16,295,149,2285,230,245,141,939,3
3168,15,666,164,2304,229,208,109,2730,1
2905,10,60,-2,743,236,227,121,2415,2
2810,20,295,204,2170,194,195,134,2030,2
3044,13,234,59,2526,191,221,169,1950,2
2870,6,108,12,3421,209,229,159,3277,2
3011,9,297,51,5028,233,225,124,4345,1
3031,9,192,23,6166,233,225,124,3406,2
2798,8,350,25,2190,234,232,129,2504,2
2965,9,0,0,1951,232,223,124,2630,1
2939,6,0,0,3573,229,229,133,6252,2
3170,14,391,94,930,207,211,140,1783,2
3220,19,360,81,2352,168,221,191,212,1
2778,10,277,58,1410,194,232,178,2322,2
3333,11,0,0,1209,236,237,130,1277,7
2677,5,95,-2,534,229,231,137,1476,1
2795,24,301,116,2372,153,206,190,2278,2
3094,5,201,31,1761,226,231,139,3037,1
2665,21,0,0,2603,225,246,143,977,2
2492,14,60,6,218,236,212,104,1304,3
3174,2,0,0,5198,214,236,160,2512,1
2246,29,404,128,552,126,220,228,454,3
3108,12,270,17,1598,212,215,139,2886,1
2796,19,67,17,2210,173,248,211,900,2
2962,17,467,-63,765,242,210,92,1739,2
2547,27,150,47,1680,176,177,128,1020,6
2339,4,365,-35,95,216,243,165,644,3
3112,7,182,7,1719,216,225,145,2941,1
2990,13,108,7,2305,208,212,139,2737,2
2879,13,201,35,2315,227,246,149,2250,2
3157,7,256,22,2965,214,226,148,1022,2
3051,11,376,15,1259,234,218,115,2879,2
3249,11,270,38,5197,219,217,133,234,1
2927,16,0,0,1654,235,206,99,1422,2
2786,7,618,52,270,218,224,142,932,5
3263,20,595,147,6022,188,254,198,3000,2
3037,18,153,-9999,2138,225,197,99,2812,1
2988,6,400,65,3760,216,227,149,1513,2
2984,6,60,7,1340,204,237,172,1790,1
3205,11,0,0,4179,228,245,148,3256,7
3014,5,335,30,4146,210,231,159,1347,2
3141,8,42,1,2084,232,227,128,2068,1
3393,14,722,187,1848,218,250,162,1350,7
2974,21,323,177,2711,172,251,212,1771,1
2677,7,108,13,1366,220,224,139,577,2
3212,18,95,21,3612,198,200,135,3345,7
2749,33,67,27,3497,253,196,42,5870,2
2962,22,335,141,492,247,197,68,658,2
3005,18,454,173,459,166,237,209,1127,2
2501,13,134,28,480,229,213,115,1476,3
3181,16,42,1,2942,193,252,195,485,1
3394,14,300,54,3085,193,251,194,1908,1
3259,22,313,97,1600,250,220,86,2790,1
2933,21,566,162,700,240,196,78,1448,2
3053,5,153,8,5178,220,229,146,2514,1
2853,23,90,29,4152,157,244,222,671,2
2974,15,95,14,693,191,213,159,2580,2
3181,8,457,110,190,233,234,133,949,2
2959,16,67,14,601,244,213,93,2483,2
2968,8,301,49,5409,232,238,138,3404,2
3113,8,234,16,3660,219,222,139,1370,1
2992,2,256,36,3761,214,239,163,1863,2
3026,13,277,37,1872,190,248,196,1415,1
2940,16,108,27,4500,241,236,119,2678,2
2925,5,30,-5,1343,229,237,142,3252,1
2190,14,0,0,591,233,212,109,1209,4
3005,11,42,5,2812,230,218,120,750,1
3097,22,212,54,1182,239,192,73,2296,1
3332,20,339,100,3365,201,254,182,513,1
3141,12,391,100,2155,194,222,166,1940,2
3039,6,0,0,1092,213,227,152,2066,2
2819,12,404,40,1878,228,215,117,1747,2
3064,10,216,13,4923,232,221,121,1917,2
2840,4,0,0,1390,209,240,169,1379,1
3168,12,531,131,3979,237,221,113,2696,2
3142,12,120,21,2992,240,233,121,3744,1
2826,6,295,70,1718,223,227,140,2687,2
2913,4,42,2,1561,218,231,149,1825,2
3307,30,201,62,811,136,190,186,1369,1
2824,33,120,50,4121,223,151,0,782,2
2896,20,361,117,830,250,215,84,1026,2
2586,14,150,27,2037,191,217,163,2188,2
2086,31,180,77,309,234,163,37,313,3
2920,20,216,74,2179,249,221,92,1395,2
3156,28,228,57,1374,252,190,47,2289,1
3221,11,534,13,3903,226,216,123,2992,1
3260,2,755,69,3645,221,239,154,2580,1
3224,7,0,0,4113,208,228,158,1216,1
3224,10,390,41,792,194,235,181,660,1
3113,11,180,0,4074,238,226,-9999,3024,2
3032,11,541,10,1230,200,249,187,626,2
2903,7,324,33,4178,228,227,133,6317,2
2978,13,417,85,192,242,223,109,510,1
3138,5,30,2,4452,227,239,146,1830,1
3093,14,0,0,2257,227,246,148,3543,1
2821,16,212,64,408,243,214,95,1290,5
2704,6,30,3,902,218,245,163,1764,1
2826,16,256,38,1239,239,207,94,1396,2
2828,9,420,26,902,235,226,121,2347,2
2943,17,0,0,558,232,204,99,510,1
2327,34,90,39,324,134,165,155,474,3
2732,11,95,14,2249,217,217,134,6797,1
2559,4,228,12,1158,221,230,145,4886,2
3152,1,391,42,1542,217,239,159,2391,1
2795,13,190,2,1680,197,218,159,1523,1
3394,20,659,210,3384,216,191,102,1761,7
2721,9,212,45,1170,197,234,177,1954,2
3088,14,1382,186,3004,224,210,117,1276,2
